"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2023-09-26","15:15:00",4272.34,"53 Sep 27 4285 C BTO 11.90 | 53 Sep 27 4335 C STO 1.15",-1100,4288.55,"2023-09-27","09:35:00",-1225,"Exited at Specified Time",6353.64,10.89818181818182,53,590470.64,58300,"",188.68,82.68,0.097,0.038,19.15,18.34,-24.56,-40.54,23.64,-20
"2023-05-24","15:15:00",4113.87,"51 May 25 4125 C BTO 11.35 | 51 May 25 4175 C STO 1.00",-1060,4139.41,"2023-05-25","09:35:00",-1895,"Exited at Specified Time",42323.88,78.29056603773586,51,584117,54060,"",181.56,79.56,0.088,0.096,20.15,19.25,-12.62,-19.09,92.92,-4.25
"2023-05-04","15:15:00",4061.51,"39 May 5 4075 C BTO 13.70 | 39 May 5 4125 C STO 1.85",-1210,4105.45,"2023-05-05","09:35:00",-2875,"Exited at Specified Time",64735.32,137.1801652892562,39,541793.12,47190,"",138.84,60.84,0.135,0.123,20.06,18.16,-8.2,-21.04,142.15,-14.05
"2023-04-26","15:15:00",4056.45,"41 Apr 27 4065 C BTO 10.90 | 41 Apr 27 4115 C STO 0.70",-1045,4082.72,"2023-04-27","09:35:00",-1985,"Exited at Specified Time",38330.08,89.46220095693779,41,477057.8,42845,"",145.96,63.96,0.064,0.015,19.16,17.92,16.15,-31.33,92.34,-28.23
"2023-04-25","15:15:00",4081.45,"49 Apr 26 4095 C BTO 10.10 | 49 Apr 26 4145 C STO 0.95",-940,4079.49,"2023-04-26","09:35:00",-385,"Exited at Specified Time",-27445.88,-59.58723404255319,49,438727.72,46060,"",174.44,76.44,0.094,0.024,19.28,18.81,-10.61,-44.98,5.32,-59.57
"2023-04-12","15:15:00",4094.6,"42 Apr 13 4105 C BTO 11.70 | 42 Apr 13 4155 C STO 0.85",-1110,4105.43,"2023-04-13","09:35:00",-875,"Exited at Specified Time",-10085.04,-21.632432432432434,42,466173.6,46620,"",149.52,65.52,0.073,0.022,19.16,18.55,12.78,-27.12,0,-37.84
"2023-04-05","15:15:00",4083.08,"53 Apr 6 4090 C BTO 9.70 | 53 Apr 6 4140 C STO 0.45",-950,4074.95,"2023-04-06","09:35:00",-395,"Exited at Specified Time",-29686.36,-58.96,53,476258.64,50350,"",188.68,82.68,0.046,0.023,19.28,19.84,-6.1,-11.42,31.05,-55.79
"2023-04-04","15:15:00",4095.29,"53 Apr 5 4105 C BTO 10.15 | 53 Apr 5 4155 C STO 0.50",-990,4093.8,"2023-04-05","09:35:00",-490,"Exited at Specified Time",-26771.36,-51.022222222222226,53,505945,52470,"",188.68,82.68,0.049,0.019,19.33,19.69,3.52,-32.74,5.05,-47.98
"2023-03-28","15:15:00",3964.48,"41 Mar 29 3975 C BTO 11.30 | 41 Mar 29 4025 C STO 0.75",-1080,4009.48,"2023-03-29","09:35:00",-3255,"Exited at Specified Time",88965.08,200.9148148148148,41,532716.36,44280,"",145.96,63.96,0.066,0.111,20.46,19.33,-3.4,-9.65,208.33,-20.37
"2023-03-23","15:15:00",3941.23,"34 Mar 24 3960 C BTO 17.65 | 34 Mar 24 4010 C STO 4.05",-1385,3926.58,"2023-03-24","09:35:00",-520,"Exited at Specified Time",-29584.08,-62.82454873646209,34,443751.28,47090,"",121.04,53.04,0.229,0.092,23.24,23.97,22.24,-17.98,31.05,-60.65
"2023-03-22","15:15:00",3989.17,"35 Mar 23 4005 C BTO 18.15 | 35 Mar 23 4055 C STO 4.00",-1440,3969.72,"2023-03-23","09:35:00",-170,"Exited at Specified Time",-44629.2,-88.55,35,473335.36,50400,"",124.6,54.6,0.22,0.049,21.03,20.83,-0.83,-12.87,36.46,-86.46
"2023-03-17","15:15:00",3915.95,"38 Mar 20 3935 C BTO 17.75 | 38 Mar 20 3985 C STO 4.40",-1360,3923.5,"2023-03-20","09:35:00",-1185,"Exited at Specified Time",-6844.56,-13.244117647058824,38,517964.56,51680,"",135.28,59.28,0.248,0.117,25.37,26.19,-1.59,-42.74,19.12,-11.03
"2023-03-14","15:15:00",3875.64,"36 Mar 15 3890 C BTO 17.80 | 36 Mar 15 3940 C STO 3.30",-1475,3868.48,"2023-03-15","09:35:00",-1000,"Exited at Specified Time",-17284.32,-32.550508474576276,36,524809.12,53100,"",128.16,56.16,0.185,0.173,25.28,26.44,38.25,-18.37,87.12,-38.64
"2023-03-10","15:15:00",3873.59,"43 Mar 13 3890 C BTO 17.65 | 43 Mar 13 3940 C STO 4.20",-1370,3819.6,"2023-03-13","09:35:00",-275,"Exited at Specified Time",-47305.16,-80.30072992700731,43,542093.44,58910,"",153.08,67.08,0.238,0.221,25.35,30.5,-5.55,-39.18,0,-78.1
"2023-03-09","15:15:00",3928.21,"42 Mar 10 3945 C BTO 20.80 | 42 Mar 10 3995 C STO 6.10",-1495,3902.92,"2023-03-10","09:35:00",-335,"Exited at Specified Time",-48935.04,-77.93444816053513,42,589398.6,62790,"",149.52,65.52,0.293,0.122,22.2,22.88,6.65,-70.45,0.67,-75.92
"2023-03-08","15:15:00",3975.4,"54 Mar 9 3985 C BTO 11.30 | 54 Mar 9 4035 C STO 1.00",-1055,4005.53,"2023-03-09","09:35:00",-2225,"Exited at Specified Time",62903.52,110.41516587677724,54,638333.64,56970,"",192.24,84.24,0.088,0.084,19.29,19.16,1.18,-12.15,113.27,-11.85
"2023-03-07","15:15:00",3987.98,"60 Mar 8 4000 C BTO 10.70 | 60 Mar 8 4050 C STO 1.15",-980,3986.99,"2023-03-08","09:35:00",-685,"Exited at Specified Time",-18007.2,-30.624489795918368,60,575430.12,58800,"",213.6,93.6,0.107,0.041,19.41,19.73,-0.16,-60.28,20.41,-27.55
"2023-03-01","15:15:00",3949.93,"54 Mar 2 3960 C BTO 12.60 | 54 Mar 2 4010 C STO 1.05",-1180,3935.04,"2023-03-02","09:35:00",-300,"Exited at Specified Time",-47796.48,-75.01016949152543,54,593437.32,63720,"",192.24,84.24,0.083,0.044,20.68,20.95,-6.81,-13.41,15.25,-75.42
"2023-02-27","15:15:00",3983.04,"66 Feb 28 3995 C BTO 11.10 | 66 Feb 28 4045 C STO 1.00",-1035,3971.73,"2023-02-28","09:35:00",-380,"Exited at Specified Time",-43567.92,-63.779710144927535,66,641233.8,68310,"",234.96,102.96,0.09,0.036,21.07,21.21,22.32,-9.32,0,-61.84
