"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2026-01-29","12:13:00",6924.98,"2 Jan 29 6895 P STO 3.15 | 4 Jan 29 6950 C STO 2.55 | 2 Jan 29 6795 P BTO 0.10 | 4 Jan 29 7000 C BTO 0.15",775,6934.56,"2026-01-29","12:25:00",1255,"Stop Loss",-988.8,-63.79354838709678,2,1160670.8,18450,"",14.4,14.4,20.625,19.583,17.81,17.58,-0.29,-52.76,0,-61.29
"2026-01-29","09:47:00",6949.08,"2 Jan 29 6880 P STO 3.75 | 4 Jan 29 6995 C STO 3.25 | 2 Jan 29 6780 P BTO 0.35 | 4 Jan 29 7045 C BTO 0.20",940,6893.02,"2026-01-29","10:41:00",1420,"Stop Loss",-988.8,-52.59574468085106,2,1161659.6,18120,"",14.4,14.4,13.667,15.316,18.23,19.17,-0.29,-28.66,40.43,-53.19
"2026-01-29","09:32:00",6984.87,"2 Jan 29 6935 P STO 3.70 | 4 Jan 29 7020 C STO 2.70 | 2 Jan 29 6835 P BTO 0.30 | 4 Jan 29 7070 C BTO 0.10",850,6955.64,"2026-01-29","09:45:00",1330,"Stop Loss",-988.8,-58.16470588235294,2,1162648.4,18300,"",14.4,14.4,18.2,11.6,17.01,18.02,-0.29,7.13,6.47,-56.47
"2026-01-28","09:32:00",7001.14,"2 Jan 28 6955 P STO 3.75 | 4 Jan 28 7030 C STO 2.90 | 2 Jan 28 6855 P BTO 0.35 | 4 Jan 28 7080 C BTO 0.15",880,6974.69,"2026-01-28","15:45:00",30,"Exited at Specified Time",1671.2,94.95454545454545,2,1163637.2,18240,"",14.4,14.4,14.692,1.667,16.37,16.47,23.4,-0.86,98.86,-23.86
"2026-01-27","09:56:00",6977.38,"2 Jan 27 6955 P STO 3.45 | 4 Jan 27 6990 C STO 2.95 | 2 Jan 27 6855 P BTO 0.45 | 4 Jan 27 7040 C BTO 0.15",850,6982.98,"2026-01-27","15:45:00",65,"Exited at Specified Time",1541.2,90.65882352941176,2,1161966,18300,"",14.4,14.4,12.467,4,15.92,16.2,15.73,11.42,95.88,-18.82
"2026-01-27","09:32:00",6964.88,"2 Jan 27 6935 P STO 3.35 | 4 Jan 27 6980 C STO 3.15 | 2 Jan 27 6835 P BTO 0.35 | 4 Jan 27 7030 C BTO 0.10",900,6976.81,"2026-01-27","09:54:00",1380,"Stop Loss",-988.8,-54.93333333333334,2,1160424.8,18200,"",14.4,14.4,17.545,24.417,16.18,15.9,15.73,-1.08,11.67,-68.33
"2026-01-26","10:23:00",6956.34,"2 Jan 26 6935 P STO 3.45 | 4 Jan 26 6970 C STO 2.90 | 2 Jan 26 6835 P BTO 0.40 | 4 Jan 26 7020 C BTO 0.15",845,6959.04,"2026-01-26","15:45:00",30,"Exited at Specified Time",1601.2,94.74556213017752,2,1161413.6,18310,"",14.4,14.4,13.214,1.667,15.99,15.99,7.62,33.11,98.82,-2.37
"2026-01-26","09:32:00",6934.5,"2 Jan 26 6890 P STO 3.25 | 4 Jan 26 6960 C STO 2.65 | 2 Jan 26 6790 P BTO 0.30 | 4 Jan 26 7010 C BTO 0.15",785,6955.85,"2026-01-26","10:21:00",1265,"Stop Loss",-988.8,-62.98089171974522,2,1159812.4,18430,"",14.4,14.4,14.25,20.462,16.27,15.99,7.62,11.27,12.74,-65.61
"2026-01-23","10:48:00",6922.93,"2 Jan 23 6900 P STO 3.35 | 4 Jan 23 6940 C STO 2.80 | 2 Jan 23 6800 P BTO 0.35 | 4 Jan 23 6990 C BTO 0.15",820,6915.37,"2026-01-23","15:45:00",40,"Exited at Specified Time",1531.2,93.3658536585366,2,1160801.2,18360,"",14.4,14.4,13.769,2.333,15.5,15.67,-5.5,15.08,97.56,-43.29
"2026-01-14","09:32:00",6926.98,"2 Jan 14 6870 P STO 3.55 | 4 Jan 14 6975 C STO 3.00 | 2 Jan 14 6770 P BTO 0.20 | 4 Jan 14 7025 C BTO 0.25",875,6915.49,"2026-01-14","15:45:00",25,"Exited at Specified Time",1671.2,95.49714285714286,2,1159270,18250,"",14.4,14.4,13.643,1,17.28,16.78,-26.33,-10.43,99.43,-13.71
"2026-01-13","12:58:00",6954.33,"2 Jan 13 6940 P STO 3.25 | 4 Jan 13 6965 C STO 3.25 | 2 Jan 13 6840 P BTO 0.10 | 4 Jan 13 7015 C BTO 0.10",935,6946.86,"2026-01-13","15:45:00",100,"Exited at Specified Time",1641.2,87.76470588235294,2,1157598.8,18130,"",14.4,14.4,32.5,6.333,15.88,16.25,0.14,-23.08,91.44,-7.49
"2026-01-13","11:54:00",6975.58,"2 Jan 13 6965 P STO 3.55 | 4 Jan 13 6985 C STO 3.05 | 2 Jan 13 6865 P BTO 0.10 | 4 Jan 13 7035 C BTO 0.10",925,6956.12,"2026-01-13","12:56:00",1405,"Stop Loss",-988.8,-53.44864864864864,2,1155957.6,18150,"",14.4,14.4,32.167,39.143,15.25,15.82,0.14,-1.83,25.41,-48.65
"2026-01-13","10:30:00",6951.47,"2 Jan 13 6925 P STO 3.60 | 4 Jan 13 6975 C STO 3.15 | 2 Jan 13 6825 P BTO 0.20 | 4 Jan 13 7025 C BTO 0.15",930,6975.7,"2026-01-13","11:52:00",1410,"Stop Loss",-988.8,-53.16129032258065,2,1156946.4,18140,"",14.4,14.4,19.8,50.333,15.81,15.26,0.14,-25.94,38.17,-64.52
