"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2023-07-19","09:35:00",4569.44,"17 Jul 28 4525 P STO 16.20 | 17 Jul 28 4620 C STO 15.95 | 17 Aug 11 4525 P BTO 30.75 | 17 Aug 11 4620 C BTO 34.05",-3275,4595.49,"2023-07-27","10:13:00",-4050,"Below Short/Long Ratio",13000.92,23.35145038167939,17,705576.08,55675,"",121.04,53.04,0.496,0.099,8.89,5.57,25.65,-9.31
"2023-07-17","09:35:00",4507.92,"17 Jul 26 4465 P STO 15.95 | 17 Jul 26 4555 C STO 15.30 | 17 Aug 9 4465 P BTO 30.70 | 17 Aug 9 4555 C BTO 33.60",-3315,4572.88,"2023-07-25","13:01:00",-3745,"Below Delta",7135.92,12.662443438914025,17,692575.16,56355,"",121.04,53.04,0.486,0.448,3.44,-0.94,23.38,-0.75
"2023-06-29","09:35:00",4379.62,"17 Jul 10 4335 P STO 14.25 | 17 Jul 10 4425 C STO 13.55 | 17 Jul 24 4335 P BTO 29.00 | 17 Jul 24 4425 C BTO 31.55",-3285,4446.86,"2023-06-30","10:19:00",-3490,"Below Delta",3310.92,5.928767123287671,17,685439.24,55845,"",121.04,53.04,0.459,0.56,-1.92,4.68,9.13,-0.91
"2023-06-22","09:35:00",4352.82,"16 Jul 3 4315 P STO 15.45 | 16 Jul 3 4400 C STO 14.35 | 16 Jul 17 4315 P BTO 32.50 | 16 Jul 17 4400 C BTO 32.90",-3570,4429.33,"2023-06-30","09:32:00",-3430,"Below Delta",-2403.84,-4.208403361344538,16,682128.32,57120,"",113.92,49.92,0.456,0.504,-10.29,-2.58,13.73,-9.38
"2023-06-21","09:36:00",4372.91,"16 Jun 30 4330 P STO 14.45 | 16 Jun 30 4425 C STO 14.05 | 16 Jul 14 4330 P BTO 30.90 | 16 Jul 14 4425 C BTO 32.10",-3460,4386.54,"2023-06-29","13:06:00",-3665,"Below Short/Long Ratio",3116.16,5.628901734104046,16,684532.16,55360,"",113.92,49.92,0.452,0.099,-8.7,-7.1,8.67,-20.09
"2023-06-16","09:35:00",4444.1,"16 Jun 26 4400 P STO 15.60 | 16 Jun 26 4490 C STO 15.00 | 16 Jul 10 4400 P BTO 32.15 | 16 Jul 10 4490 C BTO 34.25",-3590,4372.13,"2023-06-20","10:22:00",-2535,"Above Delta",-17043.84,-29.67242339832869,16,673725.56,57440,"",113.92,49.92,0.461,0.619,15.11,3.15,4.32,-29.11
"2023-06-15","09:35:00",4365.2,"18 Jun 26 4320 P STO 14.80 | 18 Jun 26 4415 C STO 13.65 | 18 Jul 10 4320 P BTO 29.40 | 18 Jul 10 4415 C BTO 30.70",-3175,4444.05,"2023-06-16","09:32:00",-3450,"Below Delta",4765.68,8.338897637795275,18,690769.4,57150,"",128.16,56.16,0.473,0.619,-7.26,-0.13,11.34,-0.31
"2023-06-14","09:35:00",4369.8,"19 Jun 23 4325 P STO 16.35 | 19 Jun 23 4425 C STO 14.85 | 19 Jul 7 4325 P BTO 30.25 | 19 Jul 7 4425 C BTO 30.95",-3010,4362.42,"2023-06-22","09:52:00",-3425,"Below Short/Long Ratio",7690.44,13.447176079734218,19,681416,57190,"",135.28,59.28,0.51,0.091,-2.72,3.51,31.4,-9.63
"2023-06-12","09:35:00",4310.25,"19 Jun 21 4265 P STO 16.05 | 19 Jun 21 4360 C STO 14.50 | 19 Jul 5 4265 P BTO 29.30 | 19 Jul 5 4360 C BTO 29.80",-2865,4385.2,"2023-06-14","11:15:00",-3175,"Below Delta",5695.44,10.46282722513089,19,686003.72,54435,"",135.28,59.28,0.517,0.612,9.46,1.93,15.88,-15.88
"2023-06-09","09:35:00",4304.51,"20 Jun 20 4260 P STO 15.50 | 20 Jun 20 4350 C STO 13.65 | 20 Jul 3 4260 P BTO 27.60 | 20 Jul 3 4350 C BTO 28.30",-2685,4375.09,"2023-06-13","13:07:00",-3170,"Below Delta",9495.2,17.681936685288644,20,680308.28,53700,"",142.4,62.4,0.521,0.607,10.95,-0.37,22.53,-1.12
