"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2025-09-11","09:32:00",6554.27,"35 Sep 12 6535 P BTO 10.50 | 35 Sep 12 6475 P STO 2.90",-770,6578.13,"2025-09-11","10:40:00",-370,"Stop Loss",-14179.2,-52.61298701298701,35,1363254.52,26950,"",124.6,54.6,0.276,0.35,14.77,14.99,22.37,-0.14,22.73,-50.65
"2025-09-04","09:32:00",6456.32,"24 Sep 5 6430 P BTO 15.10 | 24 Sep 5 6360 P STO 3.75",-1145,6480.68,"2025-09-04","13:48:00",-545,"Stop Loss",-14522.88,-52.84890829694323,24,1377433.72,27480,"",85.44,37.44,0.248,0.224,16.16,15.61,8.34,-0.28,16.59,-51.53
"2025-08-07","09:32:00",6380.33,"30 Aug 8 6360 P BTO 11.80 | 30 Aug 8 6295 P STO 3.10",-880,6329.33,"2025-08-07","15:55:00",-2805,"Exited at Specified Time",57596.4,218.16818181818184,30,1391956.6,26400,"",106.8,46.8,0.263,0.208,16.14,17.13,29.26,6.01,323.3,-15.91
"2025-07-31","09:32:00",6405.25,"22 Aug 1 6380 P BTO 14.90 | 22 Aug 1 6305 P STO 3.65",-1135,6330.44,"2025-07-31","15:55:00",-3855,"Exited at Specified Time",59727.36,239.1964757709251,22,1334360.2,24970,"",78.32,34.32,0.245,0.302,15.28,17.07,64.12,-21.77,240.53,-25.11
"2025-07-24","09:32:00",6364.04,"31 Jul 25 6350 P BTO 10.40 | 31 Jul 25 6295 P STO 2.30",-820,6377.17,"2025-07-24","14:06:00",-400,"Stop Loss",-13178.72,-51.84390243902439,31,1274632.84,25420,"",110.36,48.36,0.221,0.234,15.12,15.07,9.69,-4.56,10.37,-50
"2025-06-26","09:32:00",6115.89,"30 Jun 27 6100 P BTO 11.30 | 30 Jun 27 6045 P STO 2.80",-860,6134.38,"2025-06-26","13:11:00",-420,"Stop Loss",-13353.6,-51.75813953488372,30,1287811.56,25800,"",106.8,46.8,0.248,0.239,16.57,16.35,19.93,3.8,24.42,-50
"2025-06-05","09:32:00",5977.64,"18 Jun 6 5945 P BTO 18.05 | 18 Jun 6 5865 P STO 3.90",-1425,5936.33,"2025-06-05","15:55:00",-2330,"Exited at Specified Time",16197.84,63.14947368421052,18,1301165.16,25650,"",64.08,28.08,0.216,0.225,17.63,18.65,14.86,-8.03,105.96,-49.47
"2025-05-29","09:32:00",5931.2,"17 May 30 5900 P BTO 19.25 | 17 May 30 5815 P STO 4.40",-1495,5905.06,"2025-05-29","15:55:00",-1840,"Exited at Specified Time",5777.96,22.734448160535116,17,1284967.32,25415,"",60.52,26.52,0.229,0.133,18.98,19.03,51.41,-8.76,129.1,-2.01
"2025-05-08","09:32:00",5668.32,"15 May 9 5635 P BTO 21.85 | 15 May 9 5535 P STO 5.20",-1675,5701.14,"2025-05-08","11:42:00",-780,"Stop Loss",-13501.8,-53.73850746268657,15,1279189.36,25125,"",53.4,23.4,0.238,0.151,22.92,21.96,32.32,4.72,56.72,-52.84
"2025-05-01","09:32:00",5613.1,"12 May 2 5570 P BTO 27.85 | 12 May 2 5455 P STO 6.40",-2155,5639.4,"2025-05-01","15:50:00",-1010,"Stop Loss",-13801.44,-53.36983758700696,12,1292691.16,25860,"",42.72,18.72,0.23,0.139,24.21,23.3,56.08,-12.04,7.66,-52.67
"2025-02-27","09:32:00",5981.55,"16 Feb 28 5950 P BTO 19.65 | 16 Feb 28 5865 P STO 4.50",-1525,5869.16,"2025-02-27","15:55:00",-5745,"Exited at Specified Time",67438.08,276.3855737704918,16,1306492.6,24400,"",56.96,24.96,0.229,0.299,18.25,21.18,25.82,-0.33,277.38,-18.03
"2025-02-13","09:32:00",6066.54,"22 Feb 14 6045 P BTO 14.35 | 22 Feb 14 5975 P STO 3.30",-1115,6092.4,"2025-02-13","10:44:00",-535,"Stop Loss",-12872.64,-52.477130044843044,22,1239054.52,24530,"",78.32,34.32,0.23,0.204,15.67,15.37,8.62,5.95,41.26,-51.12
"2025-02-06","09:32:00",6073.62,"20 Feb 7 6050 P BTO 15.80 | 20 Feb 7 5980 P STO 3.45",-1245,6081.78,"2025-02-06","15:55:00",-970,"Exited at Specified Time",-5602.4,-22.499598393574296,20,1251927.16,24900,"",71.2,31.2,0.218,0.18,15.68,15.31,10.74,1.4,61.85,-21.29
"2025-01-30","09:32:00",6061.91,"19 Jan 31 6040 P BTO 16.10 | 19 Jan 31 5970 P STO 3.30",-1290,6080.8,"2025-01-30","15:03:00",-630,"Stop Loss",-12637.28,-51.55968992248062,19,1257529.56,24510,"",67.64,29.64,0.205,0.135,15.72,15.33,11.44,11.16,81.01,-50.39
"2025-01-16","09:32:00",5955.18,"20 Jan 17 5935 P BTO 15.60 | 20 Jan 17 5865 P STO 3.50",-1220,5945.48,"2025-01-16","15:55:00",-1130,"Exited at Specified Time",-1902.4,-7.796721311475411,20,1270166.84,24400,"",71.2,31.2,0.224,0.133,16.07,16.2,13.7,-8.43,50,-25.82
"2025-01-02","09:32:00",5919.3,"19 Jan 3 5895 P BTO 16.25 | 19 Jan 3 5820 P STO 3.50",-1285,5864.63,"2025-01-02","15:55:00",-3245,"Exited at Specified Time",37142.72,152.1307392996109,19,1272069.24,24415,"",67.64,29.64,0.215,0.195,17.26,18.09,21.63,16.04,264.98,-24.9
"2024-12-19","09:32:00",5926.78,"16 Dec 20 5900 P BTO 19.40 | 16 Dec 20 5800 P STO 5.10",-1440,5868.64,"2024-12-19","15:55:00",-3410,"Exited at Specified Time",31438.08,136.45000000000002,16,1234926.52,23040,"",56.96,24.96,0.263,0.231,20.4,23.6,40.55,14.07,143.06,-10.76
