"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2024-01-19","09:45:00",4787.04,"94 Feb 9 4720 P STO 28.45 | 94 Feb 9 4870 C STO 23.45 | 94 Feb 16 4720 P BTO 35.65 | 94 Feb 16 4870 C BTO 31.40",-1545,4901.07,"2024-01-24","10:45:00",-1385,"Below Delta",-16002.56,-11.018770226537216,94,2641724.08,145230,"",669.28,293.28,0.774,0.841,15.34,-9.24,58.25,-10.03
"2024-01-12","09:45:00",4801.01,"110 Feb 2 4745 P STO 26.55 | 110 Feb 2 4875 C STO 22.95 | 110 Feb 9 4745 P BTO 32.25 | 110 Feb 9 4875 C BTO 30.20",-1325,4901.07,"2024-01-24","10:45:00",-1420,"Below Delta",9323.6,6.396981132075472,110,2651047.68,145750,"",783.2,343.2,0.793,0.801,10.94,9.83,38.49,-15.85
"2024-01-10","09:45:00",4768.75,"72 Jan 31 4715 P STO 25.10 | 72 Jan 31 4845 C STO 21.05 | 72 Feb 7 4720 P BTO 33.25 | 72 Feb 7 4850 C BTO 28.20",-1560,4889.51,"2024-01-24","09:32:00",-1315,"Below Delta",-18377.28,-16.361538461538462,72,2657726.64,148320,"",512.64,224.64,0.751,0.821,3.44,8.81,22.76,-13.78
"2024-01-02","09:45:00",4735.27,"80 Jan 23 4680 P STO 27.50 | 80 Jan 23 4815 C STO 23.40 | 80 Jan 30 4680 P BTO 34.40 | 80 Jan 30 4820 C BTO 30.10",-1390,4832.24,"2024-01-19","13:59:00",-1655,"Below Delta",20380.8,18.328057553956832,80,2676103.92,151200,"",569.6,249.6,0.789,0.647,-24.63,-9.93,39.93,-13.31
"2023-12-27","09:45:00",4778.43,"78 Jan 17 4730 P STO 25.65 | 78 Jan 17 4855 C STO 22.45 | 78 Jan 24 4730 P BTO 32.50 | 78 Jan 24 4860 C BTO 29.40",-1410,4689.25,"2024-01-05","09:32:00",-850,"Above Delta",-44478.72,-40.44255319148936,78,2713586.56,148980,"",555.36,243.36,0.777,0.865,-1.3,4.98,8.51,-37.59
"2023-12-26","09:45:00",4766.14,"95 Jan 16 4710 P STO 26.35 | 95 Jan 16 4850 C STO 22.30 | 95 Jan 23 4710 P BTO 33.30 | 95 Jan 23 4850 C BTO 30.80",-1575,4793.24,"2024-01-11","09:32:00",-1470,"Below Short/Long Ratio",-10947.8,-7.316825396825396,95,2655723.12,149625,"",676.4,296.4,0.759,0.246,4.23,7.28,4.44,-34.92
"2023-12-22","09:45:00",4769.93,"105 Jan 12 4710 P STO 27.00 | 105 Jan 12 4855 C STO 24.20 | 105 Jan 19 4710 P BTO 33.40 | 105 Jan 19 4855 C BTO 31.75",-1425,4781.33,"2024-01-10","15:23:00",-1130,"Below Short/Long Ratio",-32050.2,-21.420350877192984,105,2666670.92,149625,"",747.6,327.6,0.786,0.247,7.17,16.01,0.7,-39.3
"2023-12-21","09:45:00",4738.4,"106 Jan 11 4680 P STO 26.50 | 106 Jan 11 4820 C STO 23.70 | 106 Jan 18 4680 P BTO 32.85 | 106 Jan 18 4820 C BTO 31.20",-1415,4742.42,"2024-01-09","10:32:00",-1285,"Below Short/Long Ratio",-14865.44,-9.91095406360424,106,2698721.12,149990,"",754.72,330.72,0.784,0.249,25.94,14.11,14.49,-13.07
"2023-12-14","09:45:00",4734.73,"32 Jan 4 4690 P STO 21.85 | 32 Jan 4 4810 C STO 18.65 | 32 Jan 11 4690 P BTO 29.75 | 32 Jan 11 4850 C BTO 17.00",-655,4743.26,"2024-01-02","09:36:00",-1505,"Below Short/Long Ratio",26872.32,128.20763358778626,32,2758065.28,148960,"",227.84,99.84,0.866,0.249,13.95,13.69,134.35,-8.4
"2023-12-11","09:45:00",4602.96,"100 Jan 2 4555 P STO 24.35 | 100 Jan 2 4680 C STO 20.95 | 100 Jan 8 4555 P BTO 30.95 | 100 Jan 8 4680 C BTO 28.70",-1465,4705.64,"2023-12-13","15:04:00",-1370,"Below Delta",-10524,-7.183617747440272,100,2731192.96,146500,"",712,312,0.759,0.833,-10.98,9.57,7.17,-5.46
