time,open,high,low,close,Volume,Plot,Plot,Plot,
1762441800,6753.47,6762.87,6751.26,6752.19,,21.01129674625357,20,80,0
1762442100,6752.11,6766.87,6749.36,6764.41,,18.155241452633234,20,80,0
1762442400,6764.15,6774.68,6764.15,6772.09,,16.97956360492015,20,80,1
1762442700,6771.68,6772.78,6765.56,6765.85,,16.30130061356173,20,80,0
1762443000,6765.93,6766.92,6754.22,6756.13,,15.03951592351986,20,80,0
1762443300,6756.19,6756.19,6737.44,6739.05,,12.730462026612937,20,80,0
1762443600,6739.18,6739.84,6730.64,6730.95,,10.274606527942133,20,80,0
1762443900,6731.08,6737.77,6729.72,6733.87,,8.031479581975645,20,80,0
1762444200,6734.36,6738.22,6730.53,6736.83,,6.4064678511490385,20,80,0
1762444500,6736.99,6738.41,6727.43,6729.02,,4.947303479125163,20,80,0
1762444800,6729.04,6735.48,6728.91,6735.39,,4.316460461820528,20,80,0
1762445100,6735.48,6740.33,6731.04,6734.93,,4.373890171824808,20,80,0
1762445400,6735.02,6736,6729.86,6735,,4.855642225355012,20,80,0
1762445700,6734.84,6738.14,6726.3,6729.96,,5.2022346906024595,20,80,0
1762446000,6730,6735.34,6724.62,6725.49,,5.281465322093092,20,80,0
1762446300,6725.86,6735.23,6722.14,6734.18,,5.9050313736083115,20,80,0
1762446600,6734.21,6734.21,6727.36,6728.86,,6.375850185330519,20,80,0
1762446900,6728.61,6728.77,6718.55,6720.3,,5.884058189566626,20,80,0
1762447200,6720.55,6722.33,6714.24,6719.8,,5.002590840681423,20,80,0
1762447500,6719.71,6719.81,6714.12,6715.79,,4.048949516119648,20,80,0
1762447800,6715.87,6724.51,6714.74,6723.6,,4.001469244490875,20,80,0
1762448100,6723.54,6723.54,6710.34,6712.32,,3.526349669239506,20,80,0
1762448400,6714.43,6722.06,6714.43,6722.06,,3.5672993246438756,20,80,1
1762448700,6721.87,6724.95,6715.56,6724.4,,4.246748627029875,20,80,0
1762449000,6724.52,6731.51,6721.05,6721.05,,5.249204369168724,20,80,0
1762449300,6720.96,6722.48,6715.93,6720,,6.028895309746298,20,80,0
1762449600,6720.03,6720.03,6710.73,6712.04,,6.076033655421297,20,80,0
1762449900,6711.98,6716.11,6707.51,6715.87,,5.952689543933282,20,80,0
1762450200,6715.78,6723.92,6713.47,6718.32,,6.065405057339574,20,80,0
1762450500,6718.17,6724.32,6718.17,6718.38,,6.458172060879834,20,80,0
1762450800,6718.54,6726.4,6718.17,6726.17,,7.196713452391593,20,80,0
1762451100,6726.27,6734.08,6726.12,6731.79,,8.39382412658762,20,80,0
1762451400,6731.91,6735.96,6731.51,6734.71,,9.910178223807566,20,80,0
1762451700,6734.78,6736.29,6729.91,6731.76,,11.399681493103873,20,80,0
1762452000,6731.84,6734.35,6723.92,6724.26,,12.380957216289282,20,80,0
1762452300,6724.1,6724.5,6712.77,6713.95,,12.197739568446693,20,80,0
1762452600,6713.89,6718.3,6712.43,6716.71,,11.500791168130728,20,80,0
1762452900,6716.76,6719.48,6714.5,6716.68,,10.66352714700846,20,80,0
1762453200,6716.76,6725.99,6716.19,6725.85,,10.482399061747806,20,80,0
1762453500,6725.78,6732.97,6725.59,6730.25,,10.84613295640941,20,80,0
1762453800,6730.31,6735.14,6730.31,6734.23,,11.64125567448888,20,80,0
1762454100,6734.52,6740.37,6733.5,6738.27,,12.810577981035681,20,80,0
1762454400,6738.32,6741.91,6737.5,6740.17,,14.125070408415061,20,80,1
1762454700,6740.11,6740.3,6734.14,6738.59,,15.407374904991197,20,80,0
1762455000,6738.57,6740.75,6736.55,6739.71,,16.589053795208553,20,80,0
1762455300,6739.73,6739.96,6731.49,6735.2,,17.47261969699483,20,80,0
1762455600,6734.77,6743.32,6733.95,6742.98,,18.397833682946473,20,80,0
1762455900,6743.07,6750.74,6742.27,6743.33,,19.426205770306918,20,80,0
1762456200,6743.38,6749.22,6743.38,6748.61,,20.64313536292277,20,80,0
1762456500,6748.57,6749.63,6742.88,6745.52,,21.878529972842934,20,80,0
1762456800,6745.59,6748.47,6744.5,6747.81,,23.11349017792622,20,80,0
1762457100,6747.75,6755.86,6747.75,6754.76,,24.454686018426997,20,80,0
1762457400,6754.81,6756.04,6750.4,6754.48,,25.848184351241155,20,80,0
1762457700,6754.4,6757.63,6753.52,6753.52,,27.202104829727872,20,80,0
1762458000,6753.42,6753.51,6743.06,6748.98,,28.306459908736972,20,80,0
1762458300,6749.1,6749.74,6742.78,6744.93,,29.05392680849006,20,80,0
1762458600,6744.99,6747.2,6740.85,6746,,29.534360789281013,20,80,0
1762458900,6745.97,6754.71,6745.45,6750.46,,29.92353251302255,20,80,0
1762459200,6750.72,6751.92,6745.87,6748.94,,30.27303824130641,20,80,0
1762459500,6748.83,6752,6748.33,6750.42,,30.609329022794878,20,80,0
1762459800,6750.41,6753.33,6747.98,6750.5,,30.92031848518935,20,80,0
1762460100,6750.35,6751.75,6745.03,6750.35,,31.198716766864834,20,80,0
1762460400,6750.39,6753.12,6748.8,6752.68,,31.53727782418464,20,80,0
1762460700,6752.54,6753.8,6743.29,6743.82,,31.597988675642426,20,80,0
1762461000,6743.88,6747.17,6737.68,6745.79,,31.53299143018114,20,80,0
1762461300,6745.74,6747.53,6739.48,6739.65,,31.14276959812744,20,80,0
1762461600,6739.7,6742.08,6733.7,6734.23,,30.25102250560945,20,80,0
1762461900,6734.18,6735.68,6723.91,6723.91,,28.503708349518387,20,80,0
1762462200,6723.73,6730.68,6723.73,6725.39,,26.580167532633467,20,80,0
1762462500,6725.02,6726.3,6715.98,6721.72,,24.205893123719044,20,80,0
1762462800,6721.11,6721.21,6720.37,6720.37,,22.556184250209306,20,80,0
1762463100,6720.36,6720.36,6720.32,6720.32,,21.31244022834881,20,80,0
1762525800,6696.18,6696.18,6679.97,6681.69,,18.211356779068506,20,80,0
1762526100,6681.59,6682.14,6662.28,6662.54,,14.787247243873463,20,80,1
1762526400,6662.76,6676.34,6661.98,6672.59,,12.638038746545014,20,80,0
1762526700,6672.97,6679.91,6668.07,6668.07,,11.112416506430714,20,80,0
1762527000,6667.73,6683.35,6667.73,6679.81,,10.701978085171621,20,80,0
1762527300,6680.01,6687.99,6677.24,6681.36,,10.864369430801652,20,80,0
1762527600,6683.29,6683.63,6668.02,6669.34,,10.501965366426848,20,80,0
1762527900,6668.98,6676.92,6659.79,6676.9,,10.231598151646185,20,80,0
1762528200,6676.5,6685.43,6675.94,6684.66,,10.723585934263307,20,80,0
1762528500,6684.61,6691.05,6680.25,6683.58,,11.520941938104198,20,80,0
1762528800,6683.77,6689.94,6674.69,6675.18,,12.220797236098422,20,80,0
1762529100,6675.28,6687.96,6675.16,6678.24,,12.78037643317926,20,80,0
1762529400,6678.57,6682.23,6672.37,6672.37,,13.09684297721389,20,80,0
1762529700,6672.2,6679.44,6666.18,6666.57,,12.923714414696452,20,80,0
1762530000,6666.75,6670.78,6660.99,6661.63,,11.944268716046754,20,80,0
1762530300,6661.33,6662.93,6655.59,6659.11,,10.4708365978893,20,80,0
1762530600,6658.93,6666.12,6657.3,6659.95,,9.0795606665957,20,80,0
1762530900,6659.61,6659.61,6652.86,6652.86,,7.412299790161992,20,80,0
1762531200,6652.56,6659.11,6652.25,6656.56,,5.84009738920825,20,80,0
1762531500,6656.62,6658.77,6650.57,6651.12,,4.487400336034283,20,80,0
1762531800,6651.24,6654.05,6645.83,6647.1,,3.3842621750826476,20,80,0
1762532100,6646.98,6651.77,6641.77,6651.33,,2.747245969305971,20,80,1
1762532400,6651.36,6656.91,6650.32,6650.54,,2.4637344653364757,20,80,0
1762532700,6650.77,6651.15,6646.11,6647.47,,2.1251421383567437,20,80,0
1762533000,6647.6,6652.62,6646.14,6652.37,,2.065644826681344,20,80,0
1762533300,6652.25,6652.82,6643.47,6644.78,,1.805080578253582,20,80,0
1762533600,6645.04,6651.72,6641.55,6651.43,,1.7069375883740814,20,80,0
1762533900,6651.56,6652.45,6642.89,6645.03,,1.4697852310145514,20,80,0
1762534200,6644.88,6652,6644.13,6644.22,,1.199221171085835,20,80,0
1762534500,6644.3,6645.36,6633.1,6639.3,,0.9444957147064286,20,80,0
1762534800,6639.17,6640.5,6635.25,6635.63,,0.725526911951345,20,80,0
1762535100,6635.71,6639.56,6631.44,6637.5,,0.5470543925433844,20,80,0
1762535400,6637.23,6646.29,6634.39,6645.46,,0.8479344647768763,20,80,0
1762535700,6645.22,6650.8,6644.75,6649.07,,1.5688740813792124,20,80,0
1762536000,6649.09,6661.42,6647.35,6657.73,,3.0429566019370506,20,80,0
1762536300,6658.04,6661.97,6654.11,6655.27,,4.7583899474708335,20,80,0
1762536600,6655.25,6660.03,6654.29,6657.51,,6.505696994160011,20,80,0
1762536900,6657.42,6659.03,6649.65,6651.96,,7.816958270499413,20,80,0
1762537200,6652.12,6653.26,6647.04,6651.17,,8.570124518296957,20,80,0
1762537500,6651.13,6653.79,6642.75,6643.57,,8.606950085714773,20,80,0
1762537800,6643.23,6648.71,6640.53,6647.79,,8.464309676941989,20,80,0
1762538100,6647.95,6659.56,6647.95,6659.45,,8.787065138867009,20,80,1
1762538400,6659.25,6663.09,6658.83,6660.76,,9.40442362694873,20,80,0
1762538700,6660.79,6664.61,6656.38,6662.62,,10.302171858720923,20,80,0
1762539000,6662.74,6666.59,6661.39,6665.48,,11.44382094681864,20,80,0
1762539300,6665.38,6666.38,6660.63,6665.76,,12.72439687006341,20,80,0
1762539600,6665.6,6671.51,6664.94,6671.43,,14.202494569241999,20,80,0
1762539900,6671.49,6675.48,6671.21,6673.01,,15.781412282819067,20,80,0
1762540200,6672.96,6676.18,6672.63,6672.77,,17.40836736942923,20,80,0
1762540500,6672.79,6679.87,6669.52,6679.56,,19.05367477811746,20,80,0
1762540800,6679.61,6680.61,6676.39,6677.15,,20.70977673965908,20,80,0
1762541100,6677.21,6678.99,6667.9,6668.1,,22.093064230483144,20,80,0
1762541400,6668.14,6668.14,6662.83,6667.58,,22.91651521775573,20,80,0
1762541700,6667.85,6679.78,6667.85,6675.98,,23.81990494451067,20,80,0
1762542000,6675.9,6681.9,6672.37,6678.91,,24.827342343074307,20,80,0
1762542300,6678.89,6683.07,6677.24,6680.23,,25.869015682985854,20,80,0
1762542600,6680.31,6682.8,6677.73,6682.52,,26.919175950068922,20,80,0
1762542900,6682.62,6685.55,6679.35,6679.68,,27.90478344422092,20,80,0
1762543200,6679.59,6686.71,6679.59,6685.92,,28.903999966659377,20,80,0
1762543500,6685.87,6685.87,6681.43,6684.42,,29.832661883729536,20,80,0
1762543800,6684.45,6696.22,6684.45,6695.86,,30.854187845053858,20,80,0
1762544100,6695.8,6704.91,6694.2,6703.59,,32.0073142364097,20,80,0
1762544400,6703.63,6715.78,6703.63,6714.14,,33.265486293465976,20,80,0
1762544700,6714.1,6714.4,6704.3,6710.99,,34.52099774593236,20,80,0
1762545000,6710.97,6716.33,6709.18,6716.33,,35.71537645029354,20,80,0
1762545300,6716.48,6720.02,6711.37,6719.75,,36.89606006804691,20,80,0
1762545600,6719.85,6720.27,6714.66,6716.43,,38.04635483713537,20,80,0
1762545900,6716.5,6716.5,6707.09,6716.08,,39.1080536141571,20,80,0
1762546200,6716.09,6718.59,6713.68,6714.59,,40.06678044349397,20,80,0
1762546500,6714.79,6716.29,6706.32,6709.85,,40.911293318556346,20,80,0
1762546800,6709.89,6710.55,6702.63,6703.62,,41.54759117981315,20,80,0
